,object,state,file,split,pid
0,bottle,"close,inhand",00023481_P07_09_17041_17521_0_-2_0.jpg,validation,P07
1,bottle,"outofhand,close",00020686_P31_05_18841_18901_0_-1_0.jpg,test,P31
2,bottle,"inhand,close",00000815_P02_09_11671_12091_0_-1_4.jpg,test,P02
3,bottle,inhand,00021585_P30_05_186181_186361_0_-1_1.jpg,test,P30
4,bottle,"open,inhand",00020651_P07_09_14821_15301_1_-1_12.jpg,validation,P07
5,bottle,"open,inhand",00020651_P07_09_14821_15301_1_-1_6.jpg,validation,P07
6,bottle,"inhand,close",00021585_P30_05_186181_186361_0_-1_4.jpg,test,P30
7,bottle,"open,inhand",00020651_P07_09_14821_15301_1_-1_9.jpg,validation,P07
8,bottle,"inhand,close",00020611_P02_09_2731_3391_1_-2_12.jpg,test,P02
9,bottle,"open,outofhand",00021827_P01_04_4801_5191_1_-2_3.jpg,train,P01
10,bottle,"open,inhand",00023481_P07_09_17041_17521_0_-2_8.jpg,validation,P07
11,bottle,"close,inhand",00020651_P07_09_14821_15301_1_-1_3.jpg,validation,P07
12,bottle,"close,outofhand",00020651_P07_09_14821_15301_1_-1_0.jpg,validation,P07
13,bottle,"close,inhand",00020611_P02_09_2731_3391_1_-2_8.jpg,test,P02
14,bottle,"close,inhand",00021608_P20_04_130591_130981_1_-2_8.jpg,test,P20
15,bottle,inhand,00020517_P22_17_14551_14761_1_-1_1.jpg,validation,P22
16,bottle,inhand,00020193_P20_04_131191_131551_0_-2_8.jpg,test,P20
17,bottle,"close,inhand",00020193_P20_04_131191_131551_0_-2_4.jpg,test,P20
18,bottle,"close,outofhand",00022310_P24_02_46681_46831_0_-1_3.jpg,test,P24
19,bottle,"close,inhand",00020023_P15_10_7711_7891_1_-1_3.jpg,test,P15
20,bottle,inhand,00020023_P15_10_7711_7891_1_-1_2.jpg,test,P15
21,bottle,"close,inhand",00020023_P15_10_7711_7891_1_-1_0.jpg,test,P15
22,bottle,"open,inhand",00019835_P24_05_25261_25681_1_-2_0.jpg,test,P24
23,bottle,"close,inhand",00019882_P24_08_15061_15571_1_-2_9.jpg,test,P24
24,bottle,"close,outofhand",00022376_P30_05_184861_185551_0_-1_0.jpg,test,P30
25,bottle,"close,inhand",00019835_P24_05_25261_25681_1_-2_4.jpg,test,P24
26,bottle,"close,inhand",00018775_P05_03_6991_7561_0_-1_9.jpg,validation,P05
27,bottle,"inhand,close",00018084_P08_18_10141_10591_0_-2_6.jpg,train,P08
28,bottle,"open,inhand",00019515_P24_05_45181_45481_0_-2_3.jpg,test,P24
29,bottle,"close,outofhand",00018084_P08_18_10141_10591_0_-2_0.jpg,train,P08
30,bottle,"close,inhand",00019720_P29_03_8071_8221_1_-2_1.jpg,train,P29
31,bottle,"inhand,open",00018007_P07_09_19891_20161_0_-2_2.jpg,validation,P07
32,bottle,"open,inhand",00018007_P07_09_19891_20161_0_-2_3.jpg,validation,P07
33,bottle,"close,inhand",00017857_P30_05_130591_130771_0_-1_0.jpg,test,P30
34,bottle,"close,inhand",00017689_P29_03_11881_12001_0_-1_0.jpg,train,P29
35,bottle,"inhand,close",00017585_P08_26_7021_7321_1_-1_1.jpg,train,P08
36,bottle,"inhand,open",00017383_P03_09_2041_2131_0_-1_1.jpg,train,P03
37,bottle,"close,outofhand",00016850_P30_05_130021_130081_0_-1_0.jpg,test,P30
38,bottle,"open,inhand",00017368_P08_07_781_991_1_-2_0.jpg,train,P08
39,bottle,"inhand,open",00018007_P07_09_19891_20161_0_-2_1.jpg,validation,P07
40,bottle,inhand,00016847_P31_05_18271_18601_1_-1_4.jpg,test,P31
41,bottle,outofhand,00016847_P31_05_18271_18601_1_-1_3.jpg,test,P31
42,bottle,"open,inhand",00016494_P04_02_58831_59071_1_-1_3.jpg,validation,P04
43,bottle,"open,inhand",00016494_P04_02_58831_59071_1_-1_4.jpg,validation,P04
44,bottle,outofhand,00016847_P31_05_18271_18601_1_-1_0.jpg,test,P31
45,bottle,inhand,00015878_P22_10_47941_48061_1_-1_1.jpg,validation,P22
46,bottle,"inhand,close",00016494_P04_02_58831_59071_1_-1_2.jpg,validation,P04
47,bottle,"inhand,close",00015827_P30_05_130141_130351_1_-2_0.jpg,test,P30
48,bottle,"open,outofhand",00015060_P20_04_126061_127561_0_-2_36.jpg,test,P20
49,bottle,"inhand,close",00015832_P03_28_4501_4711_0_-2_2.jpg,train,P03
50,bottle,"inhand,close",00015827_P30_05_130141_130351_1_-2_1.jpg,test,P30
51,bottle,"inhand,open",00015877_P01_09_175471_176341_0_-2_20.jpg,train,P01
52,bottle,"inhand,close",00014986_P01_18_154081_154441_1_-1_6.jpg,train,P01
53,bottle,"inhand,open",00014434_P22_10_44221_45541_1_-1_21.jpg,validation,P22
54,bottle,"outofhand,close",00014631_P03_09_4201_4441_1_-2_1.jpg,train,P03
55,bottle,"close,inhand",00013970_P22_12_30811_31051_0_-1_3.jpg,validation,P22
56,bottle,"inhand,open",00013693_P02_06_54451_54601_0_-2_1.jpg,test,P02
57,bottle,"open,inhand",00014260_P03_02_9571_10501_1_-2_0.jpg,train,P03
58,bottle,"close,outofhand",00014543_P24_05_9391_9451_0_-1_1.jpg,test,P24
59,bottle,"open,inhand",00013693_P02_06_54451_54601_0_-2_2.jpg,test,P02
60,bottle,"close,inhand",00015721_P08_21_40111_40441_1_-1_0.jpg,train,P08
61,bottle,"open,outofhand",00013085_P13_04_4381_4861_0_-1_2.jpg,train,P13
62,bottle,"open,inhand",00013693_P02_06_54451_54601_0_-2_0.jpg,test,P02
63,bottle,"close,inhand",00013085_P13_04_4381_4861_0_-1_8.jpg,train,P13
64,bottle,"inhand,close",00014156_P24_02_7891_7951_0_-1_0.jpg,test,P24
65,bottle,"close,inhand",00013085_P13_04_4381_4861_0_-1_6.jpg,train,P13
66,bottle,"close,outofhand",00012854_P08_26_6691_7321_1_-2_0.jpg,train,P08
67,bottle,"open,inhand",00012788_P01_18_67531_68341_0_-1_0.jpg,train,P01
68,bottle,"inhand,open",00012604_P03_09_3391_3931_1_-2_4.jpg,train,P03
69,bottle,"inhand,close",00012252_P13_04_3241_3511_0_-1_2.jpg,train,P13
70,bottle,inhand,00012522_P20_04_131641_132001_0_-2_6.jpg,test,P20
71,bottle,"close,inhand",00012522_P20_04_131641_132001_0_-2_0.jpg,test,P20
72,bottle,"inhand,close",00012252_P13_04_3241_3511_0_-1_0.jpg,train,P13
73,bottle,"inhand,close",00012243_P30_03_16201_16321_0_-1_2.jpg,test,P30
74,bottle,"inhand,close",00011990_P10_04_67141_67771_1_-1_12.jpg,test,P10
75,bottle,"close,outofhand",00011990_P10_04_67141_67771_1_-1_3.jpg,test,P10
76,bottle,"close,inhand",00011848_P15_10_511_841_1_-1_4.jpg,test,P15
77,bottle,"close,inhand",00011848_P15_10_511_841_1_-1_8.jpg,test,P15
78,bottle,"inhand,close",00011483_P31_05_3571_3631_0_-1_0.jpg,test,P31
79,bottle,inhand,00011848_P15_10_511_841_1_-1_0.jpg,test,P15
80,bottle,inhand,00011848_P15_10_511_841_1_-1_2.jpg,test,P15
81,bottle,"close,inhand",00011631_P24_08_5821_6001_0_-1_2.jpg,test,P24
82,bottle,"close,outofhand",00011990_P10_04_67141_67771_1_-1_6.jpg,test,P10
83,bottle,inhand,00011346_P30_03_15841_16051_1_-1_2.jpg,test,P30
84,bottle,"inhand,close",00012243_P30_03_16201_16321_0_-1_3.jpg,test,P30
85,bottle,"inhand,open",00011152_P24_05_73831_73981_1_-1_1.jpg,test,P24
86,bottle,"close,inhand",00011722_P26_19_3841_3901_0_-1_0.jpg,train,P26
87,bottle,"inhand,open",00010849_P22_05_60421_60721_0_-2_0.jpg,validation,P22
88,bottle,inhand,00010483_P05_03_5011_6001_0_-2_1.jpg,validation,P05
89,bottle,"outofhand,close",00011093_P03_09_1861_1951_0_-1_0.jpg,train,P03
90,bottle,"inhand,close",00009455_P12_04_1651_1921_1_-1_3.jpg,test,P12
91,bottle,"inhand,close",00009522_P24_07_44281_44401_1_-1_0.jpg,test,P24
92,bottle,"close,inhand",00009455_P12_04_1651_1921_1_-1_2.jpg,test,P12
93,bottle,"close,inhand",00009433_P30_05_185911_186121_1_-1_3.jpg,test,P30
94,bottle,"close,inhand",00009433_P30_05_185911_186121_1_-1_2.jpg,test,P30
95,bottle,inhand,00009455_P12_04_1651_1921_1_-1_0.jpg,test,P12
96,bottle,inhand,00020611_P02_09_2731_3391_1_-2_16.jpg,test,P02
97,bottle,"inhand,close",00009168_P31_05_3571_3631_0_-1_0.jpg,test,P31
98,bottle,"open,inhand",00009279_P24_08_54391_54511_1_-1_2.jpg,test,P24
99,bottle,"close,outofhand",00009455_P12_04_1651_1921_1_-1_1.jpg,test,P12
100,bottle,"close,outofhand",00009112_P31_05_18841_18901_0_-1_0.jpg,test,P31
101,bottle,"inhand,close",00008856_P24_02_8041_8341_0_-2_4.jpg,test,P24
102,bottle,inhand,00008384_P02_09_2701_3391_0_-2_16.jpg,test,P02
103,bottle,"inhand,open",00008445_P24_08_38911_39211_0_-2_4.jpg,test,P24
104,bottle,inhand,00008384_P02_09_2701_3391_0_-2_12.jpg,test,P02
105,bottle,"inhand,close",00008856_P24_02_8041_8341_0_-2_3.jpg,test,P24
106,bottle,"open,inhand",00008143_P07_09_15661_16921_2_-2_28.jpg,validation,P07
107,bottle,"close,outofhand",00008272_P24_08_54901_55051_0_-2_2.jpg,test,P24
108,bottle,"open,inhand",00008143_P07_09_15661_16921_2_-2_21.jpg,validation,P07
109,bottle,"open,inhand",00008143_P07_09_15661_16921_2_-2_7.jpg,validation,P07
110,bottle,"open,inhand",00008143_P07_09_15661_16921_2_-2_14.jpg,validation,P07
111,bottle,"close,inhand",00020611_P02_09_2731_3391_1_-2_16.jpg,test,P02
112,bottle,"inhand,close",00007611_P05_03_7741_7951_1_-1_4.jpg,validation,P05
113,bottle,"inhand,close",00007296_P15_10_6451_6751_0_-2_4.jpg,test,P15
114,bottle,inhand,00007329_P03_19_8551_9121_1_-1_0.jpg,train,P03
115,bottle,"open,inhand",00007296_P15_10_6451_6751_0_-2_3.jpg,test,P15
116,bottle,inhand,00019463_P20_04_124231_124531_0_-2_1.jpg,test,P20
117,bottle,"open,inhand",00007296_P15_10_6451_6751_0_-2_1.jpg,test,P15
118,bottle,"open,inhand",00007296_P15_10_6451_6751_0_-2_0.jpg,test,P15
119,bottle,"close,outofhand",00007123_P22_05_21451_22051_1_-2_3.jpg,validation,P22
120,bottle,"close,inhand",00007611_P05_03_7741_7951_1_-1_0.jpg,validation,P05
121,bottle,"inhand,open",00007296_P15_10_6451_6751_0_-2_2.jpg,test,P15
122,bottle,inhand,00006603_P30_03_15871_16051_1_-2_2.jpg,test,P30
123,bottle,"close,inhand",00006029_P12_07_23611_24121_0_-1_0.jpg,test,P12
124,bottle,"open,outofhand",00006549_P24_05_42091_42391_0_-2_4.jpg,test,P24
125,bottle,"outofhand,close",00006825_P22_12_27541_27691_0_-1_1.jpg,validation,P22
126,bottle,outofhand,00006075_P31_05_18271_18571_1_-1_0.jpg,test,P31
127,bottle,"close,outofhand",00006825_P22_12_27541_27691_0_-1_0.jpg,validation,P22
128,bottle,"close,inhand",00005773_P08_05_68281_68671_1_-1_6.jpg,train,P08
129,bottle,"open,inhand",00004941_P05_03_46441_46711_0_-2_2.jpg,validation,P05
130,bottle,"open,inhand",00004941_P05_03_46441_46711_0_-2_1.jpg,validation,P05
131,bottle,"open,inhand",00005560_P01_02_29461_29791_1_-2_0.jpg,train,P01
132,bottle,"open,inhand",00004610_P20_04_130591_131041_1_-2_2.jpg,test,P20
133,bottle,"open,inhand",00004470_P01_18_154591_154831_1_-2_2.jpg,train,P01
134,bottle,inhand,00004610_P20_04_130591_131041_1_-2_8.jpg,test,P20
135,bottle,"close,outofhand",00004452_P08_18_10141_10621_1_-2_0.jpg,train,P08
136,bottle,"open,inhand",00004610_P20_04_130591_131041_1_-2_4.jpg,test,P20
137,bottle,"close,inhand",00003092_P24_02_47521_47551_0_-1_0.jpg,test,P24
138,bottle,"close,inhand",00003981_P02_09_40771_41191_1_-2_8.jpg,test,P02
139,bottle,"close,outofhand",00003068_P12_07_23431_23521_0_-1_1.jpg,test,P12
140,bottle,"close,outofhand",00004452_P08_18_10141_10621_1_-2_4.jpg,train,P08
141,bottle,"open,outofhand",00003981_P02_09_40771_41191_1_-2_4.jpg,test,P02
142,bottle,"close,outofhand",00003068_P12_07_23431_23521_0_-1_0.jpg,test,P12
143,bottle,"inhand,open",00002213_P01_09_164401_165091_1_-2_12.jpg,train,P01
144,bottle,"inhand,close",00003981_P02_09_40771_41191_1_-2_6.jpg,test,P02
145,bottle,"outofhand,open",00002313_P24_05_62821_62851_0_-1_0.jpg,test,P24
146,bottle,inhand,00002330_P05_08_2911_3151_1_-1_3.jpg,validation,P05
147,bottle,"outofhand,close",00001933_P01_03_1801_2071_1_-2_1.jpg,train,P01
148,bottle,outofhand,00009875_P22_15_35401_35521_1_-1_1.jpg,validation,P22
149,bottle,inhand,00000815_P02_09_11671_12091_0_-1_6.jpg,test,P02
150,bottle,"inhand,open",00023481_P07_09_17041_17521_0_-2_4.jpg,validation,P07
151,bottle,"close,inhand",00022768_P31_13_33511_34111_0_-1_12.jpg,test,P31
152,bottle,"open,inhand",00000038_P30_05_130951_131341_0_-2_8.jpg,test,P30
153,bottle,"close,outofhand",00022310_P24_02_46681_46831_0_-1_0.jpg,test,P24
154,bottle,"inhand,close",00001223_P05_08_2281_2731_0_-2_2.jpg,validation,P05
155,bottle,inhand,00000815_P02_09_11671_12091_0_-1_8.jpg,test,P02
156,bottle,"close,inhand",00022768_P31_13_33511_34111_0_-1_6.jpg,test,P31
157,bottle,outofhand,00001721_P22_10_47281_47881_0_-1_12.jpg,validation,P22
158,bottle,inhand,00023651_P24_05_10831_11401_1_-1_9.jpg,test,P24
159,bottle,"close,inhand",00022768_P31_13_33511_34111_0_-1_3.jpg,test,P31
160,bottle,"close,outofhand",00022949_P22_06_7351_7501_1_-2_0.jpg,validation,P22
161,bottle,inhand,00022376_P30_05_184861_185551_0_-1_3.jpg,test,P30
162,bottle,"inhand,close",00001375_P05_08_2971_3151_1_-1_1.jpg,validation,P05
163,bottle,"close,inhand",00023481_P07_09_17041_17521_0_-2_2.jpg,validation,P07
164,bottle,"close,outofhand",00000987_P03_09_1501_1591_0_-1_1.jpg,train,P03
165,bottle,"open,inhand",00023481_P07_09_17041_17521_0_-2_6.jpg,validation,P07
166,bottle,"inhand,open",00000038_P30_05_130951_131341_0_-2_2.jpg,test,P30
167,bottle,"close,inhand",00023133_P07_10_1291_1351_0_-1_0.jpg,validation,P07
168,bottle,"open,outofhand",00023057_P08_05_91861_92191_1_-1_0.jpg,train,P08
169,bottle,"close,inhand",00023057_P08_05_91861_92191_1_-1_8.jpg,train,P08
170,bottle,"close,inhand",00023057_P08_05_91861_92191_1_-1_6.jpg,train,P08
171,bottle,close,00023030_P22_14_35851_35911_0_-1_1.jpg,validation,P22
172,bottle,"close,inhand",00023030_P22_14_35851_35911_0_-1_0.jpg,validation,P22
173,bottle,"close,inhand",00023057_P08_05_91861_92191_1_-1_2.jpg,train,P08
174,bottle,inhand,00022949_P22_06_7351_7501_1_-2_1.jpg,validation,P22
175,bottle,"close,inhand",00023001_P24_05_62671_62701_0_-1_0.jpg,test,P24
176,bottle,"close,inhand",00022768_P31_13_33511_34111_0_-1_0.jpg,test,P31
177,bottle,"open,inhand",00022353_P24_07_43291_43441_1_-1_3.jpg,test,P24
178,bottle,"open,inhand",00022376_P30_05_184861_185551_0_-1_12.jpg,test,P30
179,bottle,"open,inhand",00022353_P24_07_43291_43441_1_-1_1.jpg,test,P24
180,bottle,inhand,00022376_P30_05_184861_185551_0_-1_9.jpg,test,P30
181,bottle,"open,inhand",00022353_P24_07_43291_43441_1_-1_2.jpg,test,P24
182,bottle,"open,inhand",00022376_P30_05_184861_185551_0_-1_6.jpg,test,P30
183,bottle,"open,inhand",00022353_P24_07_43291_43441_1_-1_0.jpg,test,P24
184,bottle,"inhand,open",00022768_P31_13_33511_34111_0_-1_9.jpg,test,P31
185,bottle,"close,outofhand",00022310_P24_02_46681_46831_0_-1_1.jpg,test,P24
186,bottle,"close,outofhand",00022310_P24_02_46681_46831_0_-1_4.jpg,test,P24
187,bottle,"open,outofhand",00022175_P01_02_29161_29371_0_-1_2.jpg,train,P01
188,bottle,"open,inhand",00022018_P03_19_9511_9751_0_-1_4.jpg,train,P03
189,bottle,"open,inhand",00022018_P03_19_9511_9751_0_-1_3.jpg,train,P03
190,bottle,"open,inhand",00022018_P03_19_9511_9751_0_-1_2.jpg,train,P03
191,bottle,outofhand,00022175_P01_02_29161_29371_0_-1_0.jpg,train,P01
192,bottle,"open,inhand",00022175_P01_02_29161_29371_0_-1_3.jpg,train,P01
193,bottle,"open,inhand",00022018_P03_19_9511_9751_0_-1_1.jpg,train,P03
194,bottle,"open,inhand",00022018_P03_19_9511_9751_0_-1_0.jpg,train,P03
195,bottle,outofhand,00021827_P01_04_4801_5191_1_-2_2.jpg,train,P01
196,bottle,"close,outofhand",00021968_P30_03_15331_15451_1_-1_1.jpg,test,P30
197,bottle,"outofhand,close",00021968_P30_03_15331_15451_1_-1_2.jpg,test,P30
198,bottle,"close,outofhand",00021968_P30_03_15331_15451_1_-1_0.jpg,test,P30
199,bottle,"close,inhand",00021799_P03_28_301_1141_1_-1_10.jpg,train,P03
200,bottle,"close,inhand",00021827_P01_04_4801_5191_1_-2_1.jpg,train,P01
201,bottle,outofhand,00021827_P01_04_4801_5191_1_-2_0.jpg,train,P01
202,bottle,"open,inhand",00021799_P03_28_301_1141_1_-1_15.jpg,train,P03
203,bottle,"open,outofhand",00021608_P20_04_130591_130981_1_-2_4.jpg,test,P20
204,bottle,inhand,00021799_P03_28_301_1141_1_-1_5.jpg,train,P03
205,bottle,"open,outofhand",00021608_P20_04_130591_130981_1_-2_2.jpg,test,P20
206,bottle,"open,inhand",00021799_P03_28_301_1141_1_-1_0.jpg,train,P03
207,bottle,"close,outofhand",00022310_P24_02_46681_46831_0_-1_2.jpg,test,P24
208,bottle,inhand,00021585_P30_05_186181_186361_0_-1_3.jpg,test,P30
